31120887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseID,ResponseId,StartDate,EndDate,DOV_SPLIT_A,DOV_SPLIT_B,BNE1_1,BNE1_2,BNE1_3,BNE1_4,BNE1_5,BNE2_1,BNE2_2,BNE2_3,BNE2_4,BNE3_1,BNE3_2,BNE3_3,BNE4,complete_status,QFLAG,xparty4,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,SSTNO,weight_PID
23,R_6G2pCoIINFduCHR,2/24/2024 18:31:45,2/24/2024 18:45:08, ,SPLIT B,Very familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Democrat,Urban,72,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$75,000 to $99,999",Never married,Metro area,West,Owned or being bought by you or someone in,Working full-time,OR,1,0,Pacific,70,0.7663195
24,R_5PH3hhcOUCuP3XM,2/23/2024 21:15:23,2/23/2024 21:20:25,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Strongly support,Somewhat support,Somewhat support,No,No,Yes, ,qualified,1,Independent,Urban,61,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,4,0,Mid-Atlantic,70,1.0781964
25,R_7P0dzIFJClJcs0o,2/24/2024 17:24:24,2/24/2024 17:30:14, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Strongly support,Strongly support,Strongly support,Strongly support,"Yes, I know someone",No,No, ,qualified,1,Republican,Rural,52,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,Six or more,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working part-time,IN,4,3,East-North Central,70,0.6791782
26,R_62SgRw7Y73U6yYs,2/23/2024 16:36:05,2/23/2024 16:40:41,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Democrat,Urban,89,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$25,000 to $49,999",Widowed,Metro area,West,Owned or being bought by you or someone in,Not working,AZ,1,0,Mountain,70,0.8101498
27,R_3PbQb5NGTyJf845,2/24/2024 10:24:19,2/24/2024 10:30:09,SPLIT A, ,Never heard of this,Never heard of this, ,Somewhat familiar,Never heard of this,Strongly oppose,Somewhat oppose,Somewhat support,Somewhat oppose,Yes,No,No, ,qualified,1,Something else,Suburban,75,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,4,0,South Atlantic,70,0.7413068
28,R_3OPElNoYb3f3LVi,2/24/2024 8:44:08,2/24/2024 9:00:27, ,SPLIT B,Never heard of this, ,Somewhat familiar,Somewhat familiar,"Heard of it, but that’s it",Skipped,Strongly support,Strongly support,Strongly support,No,No,No, ,qualified,1,Republican,Rural,65,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Midwest,Rented for cash,Not working,IN,2,0,East-North Central,70,0.9154733
29,R_7znILFMUUp1k0St,2/25/2024 7:37:33,2/25/2024 7:43:48,SPLIT A, ,Somewhat familiar,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Democrat,Suburban,57,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$75,000 to $99,999",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,OH,1,0,East-North Central,70,0.5615968
30,R_7QJevms6YXYtmHm,2/24/2024 6:18:25,2/24/2024 6:30:48,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,Never heard of this,Somewhat familiar,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat support,Yes,No,No, ,qualified,1,Independent,Rural,75,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,OR,3,0,Pacific,70,1.0840037
31,R_7cuXBArD9fRdPPE,2/24/2024 10:33:44,2/24/2024 10:40:54,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat support,Yes,Yes,No,No,qualified,1,Independent,Suburban,79,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,70,0.882632
32,R_7rAXgbA4Valccbi,2/24/2024 9:07:42,2/24/2024 9:54:27,SPLIT A, ,Very familiar,Somewhat familiar, ,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,"Yes, I have","Yes, I have","Yes, I have",No,qualified,1,Democrat,Urban,48,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,3,Building with 2 or more apartments,"$150,000 or more",Now married,Metro area,Northeast,Rented for cash,Working full-time,NY,2,1,Mid-Atlantic,70,0.9133539
33,R_66EXMp9mc5QFnQR,2/23/2024 15:51:43,2/23/2024 15:57:57, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have","Yes, I have",No,No,qualified,1,Democrat,Suburban,65,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,NJ,2,0,Mid-Atlantic,70,0.8146279
34,R_7uWdBf4mu3OnE0w,2/23/2024 16:51:40,2/23/2024 17:00:58, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Democrat,Rural,56,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,PA,2,1,Mid-Atlantic,70,0.8213776
35,R_1VpQRWrFtmfaxRJ,2/23/2024 21:32:32,2/23/2024 21:42:06, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it",Somewhat familiar,Very familiar,Somewhat oppose,Strongly support,Somewhat oppose,Strongly support,"Yes, I have",No,No, ,qualified,1,Republican,Urban,62,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$25,000 to $49,999",Separated,Metro area,West,Owned or being bought by you or someone in,Working full-time,AZ,1,0,Mountain,70,0.8303092
36,R_5WZ7cNrRyluZzzz,2/23/2024 21:44:35,2/23/2024 22:04:23,SPLIT A, ,Never heard of this,Never heard of this, ,Never heard of this,Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,Yes,Yes,Yes,No,qualified,1,Independent,Suburban,47,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,AL,2,3,East-South Central,70,0.9149688
37,R_7eQYJcTKlxQmbgN,2/23/2024 15:50:29,2/23/2024 15:55:28,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,Somewhat familiar,"Heard of it, but that’s it",Somewhat oppose,Strongly oppose,Strongly support,Somewhat support,No,No,No, ,qualified,1,Independent,Suburban,80,HS,High school graduate (high school diploma or the equivalent GED),"2+ races, Non-Hispanic",Female,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,CT,2,0,New England,70,0.8585989
38,R_7CNZTOUZFRkS8eR,2/23/2024 16:16:40,2/23/2024 16:21:24,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,Yes,No,No, ,qualified,1,Independent,Suburban,58,Bachelor or higher,Bachelor’s degree,Hispanic,Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,2,0,West-South Central,70,1.4403089
39,R_3dbDeM68F9MdiqR,2/24/2024 8:19:50,2/24/2024 8:23:57,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,Somewhat familiar,Never heard of this,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly support,Yes,No,No, ,qualified,1,Republican,Rural,57,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,PA,4,0,Mid-Atlantic,70,0.678755
40,R_7gPW4KZAxZIw945,2/23/2024 15:12:16,2/23/2024 15:16:00, ,SPLIT B,Somewhat familiar, ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Strongly support,Strongly support,Strongly support,Strongly support,"Yes, I know someone","Yes, I know someone",No,No,qualified,1,Republican,Suburban,49,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,4,0,South Atlantic,70,0.7553432
41,R_6cBiLKoSAB4gwwx,2/23/2024 15:33:09,2/23/2024 15:39:12, ,SPLIT B,"Heard of it, but that’s it", ,Somewhat familiar,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Something else,Urban,75,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$10,000 to $24,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,UT,2,0,Mountain,70,0.7074238
42,R_6uyXWud6ctOMbw9,2/23/2024 16:10:32,2/23/2024 16:18:59,SPLIT A, ,Never heard of this,Very familiar, ,Never heard of this,Never heard of this,Strongly oppose,Strongly support,Strongly support,Strongly support,Yes,Yes,Yes,Yes,qualified,1,Independent,Rural,64,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$75,000 to $99,999",Divorced,Non-metro area,South,Owned or being bought by you or someone in,Not working,TX,1,0,West-South Central,70,1.5049579
43,R_3P6kPrzrVwWtjAD,2/24/2024 18:22:56,2/24/2024 18:28:33,SPLIT A, ,Never heard of this,Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Skipped,Skipped,Skipped,No,No,No, ,qualified,1,Something else,Urban,71,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$10,000 to $24,999",Now married,Metro area,West,Rented for cash,Not working,CA,2,0,Pacific,70,1.0369428
44,R_5g274QsZGooSZrQ,2/23/2024 16:49:41,2/23/2024 17:04:45,SPLIT A, ,Somewhat familiar,Very familiar, ,Somewhat familiar,Never heard of this,Somewhat support,Strongly support,Somewhat oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Independent,Suburban,30,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,Six or more,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,West,Owned or being bought by you or someone in,Working full-time,CA,Six or more,0,Pacific,70,1.3391904
45,R_7wSoEylMBCBniJX,2/24/2024 21:10:53,2/24/2024 21:15:47,SPLIT A, ,Somewhat familiar,Never heard of this, ,Never heard of this,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,No,No,No, ,qualified,1,Democrat,Suburban,49,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,CA,2,0,Pacific,70,0.9811502
46,R_12FYyRX4Y6RtKJi,2/23/2024 20:47:38,2/23/2024 20:55:57,SPLIT A, ,Never heard of this,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Strongly support,Somewhat oppose,Strongly oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Independent,Suburban,27,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,UT,2,0,Mountain,70,0.9418864
47,R_7To5weduapQhzR7,2/23/2024 20:58:59,2/23/2024 21:04:05,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,Never heard of this,Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Somewhat support,"Yes, I have","Yes, I have","Yes, I have",No,qualified,1,Independent,Rural,51,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Female,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,WA,3,0,Pacific,70,1.6390507
48,R_3P02aHuiH8dxjOK,2/23/2024 17:30:22,2/23/2024 18:39:48,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat support,Somewhat support,Yes,No,No, ,qualified,1,Independent,Suburban,72,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IN,1,0,East-North Central,70,1.0109668
49,R_3u7flWseYOsJ1CN,2/23/2024 19:18:33,2/23/2024 19:25:09,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have","Yes, I know someone",No,Yes,qualified,1,Democrat,Suburban,71,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,5,One-family house detached from any other house,"$50,000 to $74,999",Now married,Non-metro area,Midwest,Owned or being bought by you or someone in,Not working,IN,2,3,East-North Central,70,0.765391
50,R_7mkNSk9scJVOwno,2/25/2024 6:43:59,2/25/2024 6:54:53, ,SPLIT B,Never heard of this, ,Very familiar,Never heard of this,Never heard of this,Strongly support,Strongly support,Somewhat oppose,Strongly support,No,No,No, ,qualified,1,Independent,Suburban,83,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Male,2,"Other (mobile home, boat, RV, van, etc.)","$10,000 to $24,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Not working,GA,2,0,South Atlantic,70,1.9710873
